Brand,Product Name
Nestlé,Nestlé Minis Variety Pack
,Seedless Cucumbers
,Red or Green Grapes
,Red Grapes
Great Value,Great Value White
Great Value,Great Value White or Whole Wheat Bread
Fresh Maple Leaf,Breakfast or Dinner Sausages Value Pack
Clover Leaf,Clover Leaf Tuna
Pure Life,Pure Life Natural Spring Water
, Yop Drinkable Yogurt
Nutella,Nutella
Sunlight,Sunlight 4 L Laundry Detergent
Persil,Persil 2.2 L Laundry Detergent
McCain,McCain Bistro Selects Wedges
McCain,McCain Breakfast Smiles Fries
Nescafe,Nescafe Rich Instant Coffee
D'Italiano,D'Italiano Hotdog or Hamburger Bans
D'Italiano,D'Italiano Hamburger Buns
Black Diamond,Black Diamond Cheese Block 400 g or Shreds 320 g
Pepsi,Pepsi
Diet Pepsi,Diet Pepsi
Hellmann's,Hellmann's Mayonnaise
Parlour,Parlour Novelty Packs
Minute Maid,"Minute Maid Frozen Punch or Drinks, Multi, 3 for or each . "
I Can't Believe It's Not Butter!,I Can't Believe It's Not Butter!
Donut House,"Donut House, Timothy's or Krispy Kreme K-Cup 30s"
Yoplait,"Yoplait Tubes 8 x 56 g, Minigo 6 x 60 g or Source 630 g Yogurt"
Yoplait,Yoplait Cream Duo or Source yogurt
Yoplait,Yoplait Creamy Duo or Source Yogurt
Great Value,Great Value Pancake Mix
Great Value,Great Value Table Syrup
Our Finest,Our Finest Orange Juice
, Rainbow Peppers
, Roma Tomatoes
Fresh Attitude,"Fresh Attitude Salad Kits, Multi, 2 for or 4.97 each . "
Your Fresh Market,Your Fresh Market Mini Red Potatoes
Your Fresh Market,Your Fresh Market Mini Red or Yellow Potatoes
,Golden Pineapple
Maple Leaf,"Maple Leaf Beef Wieners, Multi, 2 for or 5.97 to 6.27 each . "
Maple Leaf,"Maple Leaf, Schneiders or Shopsy's Original or Beef Wieners, Multi, 2 for or 5.97 to 6.27 each . "
Your Fresh Market,Your Fresh Market Seasoned Top Blade Steak
Our Finest,Our Finest Shrimp Ring
Great Value,Great Value Chicken Wings
Great Value,Great Value Bologna
Summer Fresh,Summer Fresh Dips
Summer Fresh,Summer Fresh Hummus
Galbani,Galbani Bocconcini
Stonefire,Stonefire Naan
Your Fresh Market,Your Fresh Market Cookies
Summer Fresh,Summer Fresh Salads
, "Cheez-It Crackers"
, "Cheez-It Crackers"
Que Pasa,Que Pasa Tortilla Chips
Old El Paso,"Old El Paso Kits, Multi, 2 for or 4.47 each . "
Old El Paso,"Old El Paso Kits or Salsa, Multi, 2 for or 4.47 each . "
Nestlé,Nestlé Drumstick
Real Dairy,Real Dairy Confectionery Tubs
